"FileName","FilePath","SegmentId","Updated_Start_Time"
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100002,3.09
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100003,4.11
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100004,6.19
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100005,10.32
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100006,11.95
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100007,24.861
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100008,29.88
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100009,31.65
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100010,37.96
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100011,40.14
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100012,49.19
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100013,50.86
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100014,55.714
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100015,59.58
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100016,70.89
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100017,72.47
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100018,77.36
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100019,80.22
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100020,93.161
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100021,99.75
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100022,101.46
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100023,112.372
"en_IN_14217896_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217896_20230428.json",100024,121.188
"en_IN_14217903_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217903_20230428.json",100001,2.04
"en_IN_14217903_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217903_20230428.json",100023,3.402
"en_IN_14217903_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217903_20230428.json",100024,6.565
"en_IN_14217903_20230428.json","USA-369/Batch19_d1_en_IN_new_files_08122025_44h49m/WITHOUT_PII/TRANSCRIPTION/en_IN_14217903_20230428.json",100025,9.442
